nct_id,phase,status,studyStopReason,studyStopReasonCategories,phase2_progression,primary_endpoint_result,secondary_endpoint_result,virtualbiotech_stop_reason_categories,results_source,ae_source,pubmed_ids,ae_serious_infections_pct,ae_serious_gastrointestinal_pct,ae_serious_cardiac_pct,ae_serious_blood_lymphatic_pct,ae_serious_nervous_pct,ae_serious_respiratory_pct,ae_serious_general_pct,ae_serious_vascular_pct,ae_serious_renal_pct,ae_serious_injury_pct
NCT00404183,2.0,Completed,,,,POSITIVE,POSITIVE,,AbbVie Clinical Study Report (M03-643 R&D/05/055),AbbVie Clinical Study Report (M03-643 R&D/05/055),,,,,,,,,,,
NCT00404196,2.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00404222,2.0,Completed,,,,POSITIVE,POSITIVE,,AbbVie Clinical Study Report (M05-772 R&D/06/022),AbbVie Clinical Study Report (M05-772 R&D/06/022),,,,,,,,,,,
NCT00404235,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,2.6,2.6,,2.6,2.75,,2.6,2.6500000000000004,2.9,
NCT00404274,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00404326,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,17029191,,,,27.75,,,5.6,,,
NCT00404352,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,22146409,1.0,0.6,0.6,,0.6,,,,,
NCT00404378,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00404391,2.0,Completed,,,,POSITIVE,POSITIVE,,Inferred from similar trials (NCT00404222),Inferred from similar trials (NCT00404222),,,,,,,,,,,
NCT00404456,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,19076157,,,,,,,,,,
NCT00404495,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,4.2,,2.4,,,,,,
NCT00404508,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed + Related Trials,17761710,,,,,,,,,,
NCT00404534,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,ClinicalTrials.gov and PubMed,22123802,,,,,,,,,,
NCT00404547,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00404573,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed - Cariprazine Phase II/III Acute Schizophrenia Trials,PubMed - Cariprazine Phase II/III Acute Schizophrenia Trials,24412468|30470662|26717533,,,,,,,,,,
NCT00404586,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00404612,3.0,Completed,,,,POSITIVE,POSITIVE,,Published trial results and regulatory announcements,Published articles and regulatory information,,,,,,,,,,,
NCT00404703,2.0,Terminated,Primary (safety) endpoint reached,Safety or side effects,,UNKNOWN,UNKNOWN,Safety or side effects,,PubMed - PMC3335247 (Pulmonary hemorrhage prediction and management review),,,,,,,10.0,,,,
NCT00404742,3.0,Completed,,,,POSITIVE,POSITIVE,,Web search results and press releases,LUMINATE program integrated safety data,,,,,,,,,,,
NCT00404768,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov + PubMed (PMID: 25819462),ClinicalTrials.gov,25819462,,,,,,1.2,,1.2,,
NCT00404794,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed published trial results,22295934,29.35,,,,,,,,,
NCT00404820,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,0.49,0.66,0.655,,0.495,,,,,0.83
NCT00404833,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed published trial results,17989103,,,,,,,,,,
NCT00404885,3.0,Completed,,,,NEGATIVE,NEGATIVE,,Web search results and LUMINATE program announcements,LUMINATE program safety data,,,,,,,,,,,
NCT00404924,3.0,Completed,,,,NEGATIVE,POSITIVE,,PubMed/Journal of Clinical Oncology,PubMed/JCO publication,22370318,,,,,,,,,,
NCT00405054,2.0,Terminated,,,,UNKNOWN,UNKNOWN,Negative|Safety or side effects,WebSearch + Published Articles,"Published trial data (Blood Cancer Journal, Nature journals, ScienceDirect)",,18.45,,1.9,32.0,1.9,,,,,
NCT00405067,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,3.6,,,,,,,
NCT00405080,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00405210,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00405262,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed/Cleft Palate-Craniofacial Journal publication,PubMed publication abstract and trial design,21091369,,,,,,,,,,
NCT00405340,0.5,Completed,,,,,,,,,,,,,,,,,,,
NCT00405353,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00405366,0.5,Completed,,,,,,,,,,,,,,,,,,,
NCT00405418,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00405444,3.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed/Pediatric Radiology publication,Published trial results,20180109,,,,,,,,,,
NCT00405496,2.0,Completed,,,,POSITIVE,POSITIVE,,Published comparative literature + Related difluprednate uveitis trials,Published literature on difluprednate safety profile,,,,,,,,,,,
NCT00405613,2.0,Completed,,,,NEGATIVE,NEGATIVE,,"PubMed - PMID 18650545 (Brennan et al., J Dent Res 2008)",PubMed published trial results,18650545,,,,,,,,,,
NCT00405639,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00405730,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed/Journal of Ophthalmic Surgery publication,Published trial results,19668532,,,,,,,,0.4,,
NCT00405756,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed/New England Journal of Medicine publication,Published trial results,22571200,,,,,,,,,,
NCT00405808,3.0,Terminated,EMEA recommendation to suspend Acomplia marketing authorisation,Regulatory|Study design,,UNKNOWN,UNKNOWN,Safety or side effects,EMA/EMEA regulatory documentation and press releases,"EMA official statements, post-marketing surveillance, clinical trial data",,,,,,,,,,,
NCT00405886,2.0,Completed,,,,NEGATIVE,POSITIVE,,PubMed and PMC published trial results,PubMed published trial results,21223542,,,,,,,,,,
NCT00405938,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,2.4,2.4,2.5,,2.433333333333333,5.25,2.4,2.6,2.4,
NCT00405951,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00405964,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,0.28,0.28,,,0.28,,,,
NCT00406003,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00406016,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00406172,3.0,Withdrawn,Poor accrual,Insufficient enrollment,,UNKNOWN,UNKNOWN,Insufficient enrollment,,,,,,,,,,,,,
NCT00406276,1.0,Terminated,data analysis showed insufficient drug efficacy,Negative,,,,,,,,,,,,,,,,,
NCT00406302,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed - PMID 26020783 (INN06-Study published results),PubMed and PLOS One published trial results,26020783,,,,,,,,,,
NCT00406315,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00406341,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00406367,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,2.9,,,,
NCT00406380,3.0,Withdrawn,Undefined,Business or administrative|Study design,,UNKNOWN,UNKNOWN,No context,,,,,,,,,,,,,
NCT00406393,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,13.6,,,,,,0.7,3.0,,
NCT00406419,3.0,Terminated,"Based on analysis of results and consideration of available treatments, the overall benefit to risk profile of ocrelizumab was not favorable in RA.",Negative|Safety or side effects,,POSITIVE,POSITIVE,Business or administrative,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00406432,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00406471,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00406497,2.0,Completed,,,,POSITIVE,POSITIVE,,Published literature and PMC articles on difluprednate Phase 2 trials,PMC clinical practice review article,19668594|19101421,,,,,,,,,,
NCT00406588,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,22316635,,,,,,,,,,
NCT00406601,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed - PMID 23230134 (Annals of Oncology 2013),Published trial data and related Phase II discontinuation trial (PMID 20016927),23230134|20016927,,,,,,,,,,
NCT00406640,3.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,0.68,,0.17,0.17,,
NCT00406653,3.0,Terminated,Sponsor Decision,Business or administrative,,NEGATIVE,NEGATIVE,Business or administrative,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00406679,3.0,Completed,,,,POSITIVE,POSITIVE,,,,,,,,,,,,,,
NCT00406692,2.0,Completed,,,,POSITIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00406744,3.0,Terminated,Poor accrual,Insufficient enrollment,,UNKNOWN,UNKNOWN,Insufficient enrollment,,,,,,,,,,,,,
NCT00406783,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00406796,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00406848,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00406887,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed - Phase 3 difluprednate uveitis literature,PubMed - Phase 3 difluprednate uveitis literature,,,,,,,,,,,
NCT00406926,3.0,Completed,,,,POSITIVE,NEGATIVE,,PubMed,PubMed,17595258|20424424|9177388|34111870,,,,,,,,,,
NCT00406978,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00407017,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00407030,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,1.2,,,,,1.2,,,,
NCT00407043,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00407056,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed - Clinical review articles,PubMed - Clinical review articles,19668594|29260952,,,,,,,,,,
NCT00407082,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed published trial results,PubMed published trial results,18779477,,,,,,,,,,
NCT00407095,3.0,Completed,,,,POSITIVE,POSITIVE,,PubMed - parent trial S308.3.002 published results,PubMed - parent trial and clinical literature,22316635,,,,,,,,,,
NCT00407121,3.0,Withdrawn,Undefined.,Business or administrative,,UNKNOWN,UNKNOWN,No context,,,,,,,,,,,,,
NCT00407225,2.0,Completed,,,,POSITIVE,POSITIVE,,Published literature on Phase 2a difluprednate dose-ranging trials,Published literature on Phase 2a difluprednate trials,,,,,,,,,,,
NCT00407251,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed published trial results,PubMed published trial results,21765178,,66.7,,,,,,,,
NCT00407264,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed published trial results,Published literature on fluticasone safety,17290039|17983686,,,,,,,,,,
NCT00407303,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00407381,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,2.4,,
NCT00407446,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov detailed description,ClinicalTrials.gov detailed description,,,,,,,,,,,
NCT00407459,2.0,Completed,,,,NEGATIVE,POSITIVE,,PubMed published trial results,PubMed published trial results,23860535,,3.9,,,,,3.9,,,
NCT00407485,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,4.5,,,,4.5,,,,
NCT00407550,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,7.033333333333334,5.3,,10.55,,5.3,5.3,,,
NCT00407654,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,1.4555555555555555,1.3,,1.3,2.7,1.65,2.0,,
NCT00407745,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,2.7,,0.9,,,,,,,
NCT00407758,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,3.7,,,,3.7000000000000006,9.25,3.7,,
NCT00407797,4.0,Terminated,,,,,,,,,,,,,,,,,,,
NCT00407888,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,1.7,1.7,,1.7,,1.7,1.7,,,
NCT00407927,2.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00408070,2.0,Terminated,Did not meet accrual goals.,Insufficient enrollment,,UNKNOWN,UNKNOWN,Insufficient enrollment,ClinicalTrials.gov,ClinicalTrials.gov,,40.0,,,,20.0,,,,20.0,
NCT00408148,3.0,Terminated,Company decision has been taken in light of recent demands by certain national health authorities,Business or administrative,,UNKNOWN,UNKNOWN,Regulatory,,,20709233,,,,,,,,,,
NCT00408174,3.0,Completed,,,,UNKNOWN,NEGATIVE,,,,19491859,,,,,,,,,,
NCT00408187,3.0,Completed,,,,POSITIVE,NEGATIVE,,WebSearch - Press releases and conference presentations,WebSearch - Drug comparison articles,21227890,,,,,,,,,,
NCT00408213,3.0,Completed,,,,POSITIVE,POSITIVE,,Parent trial WX17798 published results (Neurology 2008),Parent trial WX17798 published results,18434638,,,,,,,,,,
NCT00408226,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00408239,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed published article,PubMed published article,22952213,,,,,,,,,,
NCT00408252,2.0,Terminated,Too frequent grade 3-4 toxicities,Safety or side effects,,UNKNOWN,UNKNOWN,Safety or side effects,,,,,,,,,,,,,
NCT00408278,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00408421,3.0,Completed,,,,POSITIVE,POSITIVE,,Published pooled analysis - Journal of Rheumatology 2012,Meta-analyses and published trials,22133624|34483232|26176791|30993832,,,,,,,,,,
NCT00408434,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00408499,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00408525,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00408564,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,7.328571428571429,2.6,,,2.6,3.1,,3.85,
NCT00408603,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00408629,3.0,Completed,,,,POSITIVE,POSITIVE,,Gastroenterology 2012 publication,Published ULTRA 2 trial results,22062358|23173821|24067881,1.6,,,,,,,,,
NCT00408785,3.0,Completed,,,,POSITIVE,POSITIVE,,Published trial results - Dermatology Surgery 2010,Published literature and meta-analyses,20002637|21877763|12973229,,,,,,,,,,
NCT00408876,3.0,Completed,,,,NEGATIVE,POSITIVE,,Published trial Skljarevski 2009 and systematic reviews,Published trial results and meta-analyses,19469829|20472510|28769588|24650448|20461028,,,,,,,,,,
NCT00408902,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,10.0,,,30.0,,,
NCT00408928,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,9.1,,9.1,9.1,9.1,,14.56,,9.1,
NCT00408954,2.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00408967,2.0,Withdrawn,Th trial got cancelled and no subjects signed informed consent form (ICF); study design not appropriate any longer.,Study design,,UNKNOWN,UNKNOWN,Business or administrative|Study design,,,,,,,,,,,,,
NCT00408993,3.0,Completed,,,,NEGATIVE,POSITIVE,,Published trial - Chinese Medical Journal 2010,Published trial results and safety reviews,21163113|25939897|20520957,,,,,,,,,,
NCT00409006,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,1.4,2.9,,,2.15,1.4,1.4,,,
NCT00409175,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,0.9142857142857144,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,0.8
NCT00409188,3.0,Completed,,,,NEGATIVE,POSITIVE,,Butts et al. Lancet Oncology 2014,Published START trial results,24331154|25722382,2.2,,,,,4.8,,,,
NCT00409292,2.0,Completed,,,,POSITIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,3.0,,9.1,,,9.1,,,
NCT00409305,2.0,Completed,,,,NEGATIVE,POSITIVE,,PubMed,PubMed,18698316,,,,,,,,,,
NCT00409357,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,15839922|12887479,,,,,,,,,,
NCT00409526,4.0,Terminated,Sub-Investigator left U of C,Study staff moved,,,,,,,,,,,,,,,,,
NCT00409539,2.0,Completed,,,,POSITIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,0.18,,0.24,,,0.18,,
NCT00409578,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,0.83,,1.0785714285714287,,0.28,,0.8300000000000001,,,
NCT00409591,3.0,Terminated,Change in National PMTCT guidelines in Thailand,Regulatory,,NEGATIVE,POSITIVE,Regulatory,Published PHPT-5 trial - Lallemant et al. AIDS 2015,Published trial results,26372485,,,,,,,,,,
NCT00409617,3.0,Completed,,,,POSITIVE,POSITIVE,,Published CARE trial - Sandborn et al. 2011,Published trial results,21351211|22480772,3.0,,,,,,,,,
NCT00409643,3.0,Completed,,,,POSITIVE,POSITIVE,,Published trial - PMID 17617280 (Exforge combination studies),Published trial results and related publications,17617280|17485971,,,,,,,,,,
NCT00409682,3.0,Completed,,,,POSITIVE,POSITIVE,,"Published IMAgINE 1 trial - PMID 22562021 (Hyams et al., Gastroenterology 2012)",Published trial results and meta-analysis (PMC10873464),22562021|23610555|25723614,,,,,,,,,,
NCT00409708,2.0,Completed,,,,NEGATIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00409721,2.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00409760,3.0,Completed,,,,POSITIVE,POSITIVE,,Published pivotal trials (EMEA 2201/2307 studies - PMID 17617280 and related publications),Published trial results and Exforge evidence reviews,17617280|18257612|19791840,,,,,,,,,,
NCT00409773,3.0,Completed,,,,POSITIVE,POSITIVE,,"Published VYMET trial - PMID 19539078 (Bagatell et al., Am J Cardiol 2009)",Published trial results and metabolic syndrome subgroup analysis,19539078|20425579|20150290,,,,,,,,,,
NCT00409825,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00409838,3.0,Completed,,,,POSITIVE,POSITIVE,,Global abatacept pivotal trial data (AIM/ATTAIN trials) - PMC3383476,Published abatacept safety data and global trial results,19539078|21893583|18360649,3.0,,,,,,,,,
NCT00409851,3.0,Completed,,,,POSITIVE,POSITIVE,,Published extension trial - PMID 20716145,Published extension trial results and safety analysis,20716145|19210151,,,,,,,,,,
NCT00409942,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00409994,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00410033,3.0,Completed,,,,POSITIVE,POSITIVE,,Published literature on pediatric insulin aspart immunogenicity,Published clinical trial results and review literature,11978684|20522172,,,,,,,,,,
NCT00410046,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00410059,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,1.7,,,,,,,,
NCT00410124,3.0,Completed,,,,POSITIVE,POSITIVE,Success,Published RECORD-1 trial - PMID 18653228 (The Lancet 2008),PMID 18653228 and RECORD-1 subgroup analysis (PMC3341863),18653228|20215359|22342553|23219086,7.0,,,6.0,,4.0,,,,
NCT00410150,2.0,Terminated,Study was stopped after interim analysis and slow enrollment.,Insufficient enrollment|Negative,,NEGATIVE,NEGATIVE,Insufficient enrollment|Interim analysis,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00410163,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,18.7,,,,,,
NCT00410189,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,6.5,3.7,,,,3.7,,1.9,6.5,
NCT00410280,2.0,Completed,,,,NEGATIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00410358,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00410371,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00410384,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,1.3,,,0.75,,,0.7,,1.2,
NCT00410410,3.0,Completed,,,,NEGATIVE,NEGATIVE,,Published trial - PMID 22504093,Published trial results (limited safety detail in abstract),22504093,,,,,,,,,,
NCT00410423,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00410514,2.0,Completed,,,,NEGATIVE,NEGATIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,,,,,,,
NCT00410540,3.0,Completed,,,,POSITIVE,POSITIVE,,Published trial - PMID 18976472,Published trial - PMC2644667 (detailed safety analysis),18976472|19754935,,,,,,,,,,
NCT00410592,4.0,Completed,,,,,,,,,,,,,,,,,,,
NCT00410605,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,3.225,3.225,3.875,,3.85,5.166666666666667,4.266666666666667,6.45,7.7,
NCT00410644,3.0,Completed,,,,POSITIVE,POSITIVE,,Published trial - PMID 17877652,Published trial - PMID 17877652 and PMC2040191,17877652,,,,,,,0.3,,,
NCT00410696,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,20007996,,,,,,,,,,
NCT00410735,3.0,Completed,,,,UNKNOWN,NEGATIVE,Negative,Web search findings - trial discontinued 2008 for lack of efficacy,,,,,,,,,,,,
NCT00410748,3.0,Completed,,,,POSITIVE,POSITIVE,,Published study - PMID 19507806 (Journal of Opioid Management 2009),PMID 19507806 and PMID 22795050 (pooled safety analysis),19507806|22795050,,,,,,,,,,
NCT00410774,1.0,Terminated,low accrual-no data available,Insufficient enrollment,,,,,,,,,,,,,,,,,
NCT00410787,3.0,Completed,,,,POSITIVE,POSITIVE,,Published extension study - PMID 19754935,PMID 19754935 and PMC2753576,19754935,,,,,,,27.9,,,
NCT00410813,2.0,Completed,,,,NEGATIVE,NEGATIVE,,PubMed,ClinicalTrials.gov,27475087,,,,,,3.65,,,2.4,
NCT00410878,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00410904,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,6.7,,,,5.0,6.25,3.3,7.5,,
NCT00410943,3.0,Completed,,,,POSITIVE,POSITIVE,,Published dose equivalence study - PMID 22424912 (2012 Journal of Pain),PMID 22424912 published results,22424912,,,,,,,,,,
NCT00410956,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,4.5,4.5,,4.5,4.5,4.5,,,
NCT00410982,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00411034,3.0,Completed,,,,POSITIVE,POSITIVE,,PMID 12007754 (dose conversion/titration combined study) + PMID 18380946 (cancer pain subset),PMID 12007754 adverse events table,12007754|18380946,,,,,,,,,,
NCT00411047,2.0,Completed,,,,POSITIVE,POSITIVE,,PubMed,PubMed,18458038,,,,,,3.2,,,,
NCT00411073,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00411086,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,,,,8.65,1.9,,4.8,,,1.9
NCT00411099,3.0,Completed,,,,POSITIVE,POSITIVE,,PMID 20520286 (Journal of Affective Disorders 2010),PMID 20520286 and PMC4243030 (comprehensive safety review),20520286,,,,,,,,,,
NCT00411125,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00411164,3.0,Completed,,,,NEGATIVE,POSITIVE,,PMID 22537100 (Pain Practice 2013),PMID 22537100 and PMID 17697906 (osteoarthritis adverse event comparisons),22537100|17697906,,,,,,,,,,
NCT00411203,3.0,Completed,,,,POSITIVE,POSITIVE,,"PMID 18316672 (Archives of General Psychiatry 2008, Yildiz et al.)",PMID 18316672 and PMC11079652 (comprehensive review),18316672,,,,,,,,,,
NCT00411229,3.0,Completed,,,,POSITIVE,POSITIVE,,"PMID 22226517 (Lancet 2011, initial results) and PMID 25439693 (Lancet Oncology 2014, 5-year follow-up)",PMID 22226517 safety analysis,22226517|25439693,,,,,,,,,,
NCT00411242,3.0,Completed,,,,POSITIVE,POSITIVE,,PMID 20361916 (Journal of Affective Disorders 2010),PMID 20361916 and PMC4243030 (comprehensive safety review),20361916,,,,,,,,,,
NCT00411268,3.0,Completed,,,,POSITIVE,POSITIVE,,"PMID 21199302 (Pain Medicine 2010, DO-127X extension study results) and PMID 17519065 (Current Medical Research and Opinion 2007, DO-127 primary study)",PMID 22795050 (pooled safety analysis of 11 OROS hydromorphone studies including noncancer pain) and primary study publications,21199302|17519065|22795050,,,,,,,,,,
NCT00411281,3.0,Withdrawn,Per Group Chair: This study will not move forward.,Business or administrative|Invalid reason,,UNKNOWN,UNKNOWN,Business or administrative,,,,,,,,,,,,,
NCT00411307,2.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00411372,3.0,Withdrawn,No subjects enrolled. Study was canceled before active,Insufficient enrollment|Invalid reason,,UNKNOWN,UNKNOWN,Business or administrative,,,,,,,,,,,,,
NCT00411385,3.0,Completed,,,,POSITIVE,POSITIVE,,PMID 20600017 (Hepatology 2010) and PMC3175757 (full text),PMID 20600017 with detailed adverse event table from PMC3175757,20600017,,,,,,,,,,
NCT00411398,3.0,Completed,,,,POSITIVE,POSITIVE,,"PMID 22937414 (Case Reports in Psychiatry 2012, Schwartz et al.) and PMC3420624 (full text)",PMID 22937414 and PMC3420624 with adverse event table,22937414,,,,,,,,,,
NCT00411411,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov (primary efficacy endpoints) and PMID 25243647 (secondary HbA1c data),FDA label and postmarketing surveillance data for sitagliptin/Januvia DPP-4 inhibitor class,25243647,,,,,,,,,,
NCT00411424,1.0,Completed,,,NEVER,,,,,,,,,,,,,,,,
NCT00411463,2.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov and PubMed,PubMed,22420597,,,,,,,,,,
NCT00411528,2.0,Completed,,,,UNKNOWN,UNKNOWN,,,,,,,,,,,,,,
NCT00411554,3.0,Completed,,,,POSITIVE,POSITIVE,,ClinicalTrials.gov,ClinicalTrials.gov,,0.6,0.6,,,,,,,,0.6
NCT00411580,1.0,Completed,,,EVER,,,,,,,,,,,,,,,,
NCT00411593,1.0,Withdrawn,Lack of Patient Accrual,Insufficient enrollment,,,,,,,,,,,,,,,,,
